sample_name,control_ED,case_ED,FrEIA_score
EE87786,0.014683831426110752,0.004649186666916822,3.158365640725834
EE87787,0.014858932916003506,0.005057111931776245,2.9382250415771396
EE87788,0.015195658088258901,0.004951558152205221,3.0688639052923934
EE87789,0.013375137338895705,0.003981909213906188,3.3589759636370293
EE87790,0.011810930416018682,0.004529486451045532,2.607565017286317
EE87791,0.013208660436076531,0.0037035275076332474,3.5665079870076553
EE87792,0.03635391032746569,0.02000255124191392,1.817463676897808
EE87793,0.015963690465198906,0.0030435686270703956,5.2450568464969525
EE87794,0.015807468499104794,0.0037047314136953373,4.266832526824774
EE87795,0.012830445251097312,0.005148944260940536,2.4918594183331924
EE87796,0.015165629807421154,0.0035507308921235506,4.271129034605941
EE87797,0.01508463577321467,0.003416697562676277,4.414975424807273
EE87798,0.015122510851698238,0.005160527081931294,2.9304198217750144
EE87799,0.019993874861098687,0.008650424443435724,2.31131720666849
EE87800,0.017487527443028256,0.0036262195681771004,4.822523047554793
EE87801,0.01985423841962677,0.007289676721224664,2.7236102750371707
EE87802,0.014213075990824563,0.00539167860024104,2.63611335998202
EE87803,0.014832844819732969,0.004886194094369414,3.035664268193017
EE87804,0.01441098056142792,0.005538611822945074,2.6019119992715245
EE87805,0.012248165843083959,0.006287457931602384,1.948031458233942
EE87806,0.020101685121785465,0.008194369235837669,2.453109512550611
EE87807,0.013818793939518768,0.00593314820691544,2.3290828844309224
EE87809,0.01495760001572078,0.004086507247550259,3.6602406675498793
EE87810,0.016833676067272645,0.00514122841941881,3.274251734019553
EE87811.sortByCoord,0.01467511793043599,0.00433222284521745,3.387433762008933
EE87812.sortByCoord,0.014977547367009472,0.008340831379612616,1.7956899840487
EE87813.sortByCoord,0.01502850103168384,0.008349592370822495,1.7999083505202809
EE87814.sortByCoord,0.013865261666683984,0.007334020682348729,1.8905403007731385
EE87815.sortByCoord,0.012961816677318364,0.005827474168035853,2.2242598257088697
EE87816.sortByCoord,0.016014710239972967,0.004324949816847408,3.702866141380247
EE87817.sortByCoord,0.014575954125902716,0.004724706745524436,3.085049487930664
EE87818.sortByCoord,0.015251769788711185,0.004314012397646199,3.5354024010299137
EE87819.sortByCoord,0.021122803597407605,0.013114860513353713,1.610600705657533
EE87820.sortByCoord,0.017215373606738055,0.005515895700834297,3.1210477029386494
EE87821.sortByCoord,0.017794455038529153,0.005525923833214603,3.220177399401027
EE87822.sortByCoord,0.016152769926446143,0.004448936244386357,3.6307038445038673
EE87823.sortByCoord,0.017853091515597084,0.00423568311293876,4.21492614994289
EE87824.sortByCoord,0.015902779415080143,0.007204904848934325,2.2072157437904707
EE87825.sortByCoord,0.015334237095215641,0.005416153415605206,2.831204347172685
EE87826.sortByCoord,0.01609783889725579,0.006357911097625979,2.5319383442254586
EE87827.sortByCoord,0.016592773558160853,0.00755227039100007,2.1970576659879946
EE87828.sortByCoord,0.016966090032168427,0.006248041908861188,2.7154251331295547
EE87829.sortByCoord,0.013835395213007992,0.004735653458763106,2.921538776746056
EE87830.sortByCoord,0.013132764180803239,0.005888969679407274,2.230061436167057
EE87831.sortByCoord,0.013243632913542643,0.007092353053441551,1.8673115697640286
EE87832.sortByCoord,0.01593879620399566,0.004972213412139484,3.2055736314699708
EE87833.sortByCoord,0.020185499269334117,0.0048893531398976784,4.128460082913247
EE87834.sortByCoord,0.015048218280787388,0.005415788165350353,2.7785832498147394
EE87835.sortByCoord,0.02790153449157767,0.008444492416731172,3.304110314113852
EE87836.sortByCoord,0.030141684983623063,0.007820807611047401,3.854037393919007
EE87837.sortByCoord,0.023063677972244657,0.01136828341663234,2.028774013366116
EE87838.sortByCoord,0.01683019142197893,0.005297340961376035,3.177101784591778
EE87839.sortByCoord,0.013695671612706304,0.0077985076326593595,1.7561913455531184
EE87840.sortByCoord,0.014731072813515607,0.004422590977549104,3.3308693678200423
EE87841.sortByCoord,0.015617124491496666,0.005795776923353584,2.6945696319968437
EE87842.sortByCoord,0.014923802716399084,0.004089890115771526,3.648949554622405
EE87843.sortByCoord,0.014043341517080117,0.006149001295118498,2.28384104069529
EE87844.sortByCoord,0.0159180822404638,0.0050082741677051484,3.1783567966602875
EE87845.sortByCoord,0.01350182878422983,0.004732427795837506,2.8530448570405267
EE87846.sortByCoord,0.015348313435706721,0.004320741288419619,3.552240787210061
EE87847.sortByCoord,0.021716779486682547,0.003519891425144046,6.169729933017415
EE87848.sortByCoord,0.015023600511102556,0.005802767017363561,2.5890407914271916
EE87849.sortByCoord,0.014864243310186572,0.004939345751825143,3.0093546912957185
EE87850.sortByCoord,0.014786049496592214,0.006903101800261808,2.1419428431479073
EE87851.sortByCoord,0.015340725116254674,0.008379609218126331,1.8307208268221413
EE87852.sortByCoord,0.01606309302917834,0.00734313310217694,2.187498552139316
EE87853.sortByCoord,0.013480407640976784,0.006757187344167917,1.9949731973335967
EE87854.sortByCoord,0.013675054676604523,0.008576236020968572,1.5945287236929504
EE87855.sortByCoord,0.030945251649288606,0.008627712841455895,3.5867271220012817
EE87856.sortByCoord,0.015062328453229228,0.0034899144227286062,4.315959255371275
EE87857.sortByCoord,0.020140425523638268,0.005667966825077581,3.5533774535390994
EE87858.sortByCoord,0.03084764841541335,0.006928225430801392,4.45246026179682
EE87859.sortByCoord,0.034755328410600604,0.012317207153169208,2.8216890386274036
EE87860.sortByCoord,0.03188934502972039,0.010372430021913993,3.0744333740837275
EE87861.sortByCoord,0.025846043552918547,0.005486887007638821,4.7105113549697295
EE87862.sortByCoord,0.015463610146013627,0.005756741340356915,2.6861742141527056
