sample_name,control_ED,case_ED,FrEIA_score
EE87786,0.009421044853942398,0.004753211492175929,1.982037801063555
EE87787,0.009556188175941597,0.004415491891357863,2.1642409070312785
EE87788,0.009910735540931045,0.005293898405612483,1.8721053525364002
EE87789,0.009601467055558437,0.004919275048389899,1.9518052886067108
EE87790,0.008619183168996288,0.005144366811114219,1.6754604571304779
EE87791,0.010359494084853602,0.0037726017389916764,2.7459813681850336
EE87792,0.03452799011217384,0.022274119245028395,1.5501394121287433
EE87793,0.014124708938244713,0.0033824889471173957,4.175832991348571
EE87794,0.011114934834633914,0.0043860530261811016,2.5341542312158483
EE87795,0.010020716967677108,0.005714302237064058,1.7536203987742929
EE87796,0.013427568522726013,0.004460563976135417,3.010284931359623
EE87797,0.01095832619031725,0.005511315420662078,1.988332249907921
EE87798,0.01251515284939857,0.003201470221746019,3.90918921075363
EE87799,0.017633509022223135,0.005861347004889762,3.0084396995285525
EE87800,0.01357263101382631,0.004490621067399481,3.0224396158383104
EE87801,0.017040540049094385,0.004938085871947259,3.450839149213642
EE87802,0.008195929280457474,0.005906371240777122,1.3876420811264663
EE87803,0.01003011864131449,0.00445721536414188,2.2503105239218177
EE87804,0.010034248014065321,0.005647687064141595,1.776700426228458
EE87805,0.007976138087911911,0.003845031514780137,2.074401225907246
EE87806,0.017152161933659642,0.0059668014781909685,2.8745990622198283
EE87807,0.007706844513230137,0.006624604616215312,1.1633667154060459
EE87809,0.010304377227716353,0.004968737607609811,2.0738420986318147
EE87810,0.013261538309435078,0.004150366996987693,3.1952688326261773
EE87811.sortByCoord,0.011348240239563497,0.00570182418499012,1.9902823853175613
EE87812.sortByCoord,0.009031950384940549,0.008036174459322672,1.123911685921986
EE87813.sortByCoord,0.010520783469543988,0.007863869706892934,1.337863400804083
EE87814.sortByCoord,0.007671430180241629,0.0072284279207990906,1.0612861142556105
EE87815.sortByCoord,0.007333927941757236,0.005744911517313941,1.2765954566322453
EE87816.sortByCoord,0.010651322252063307,0.0053382548328570825,1.995281713886001
EE87817.sortByCoord,0.009123859954159059,0.004835434818311529,1.886874768657308
EE87818.sortByCoord,0.010232400318370558,0.004958511681979347,2.06360314841206
EE87819.sortByCoord,0.01869790104414143,0.007180176625507661,2.6041004308608398
EE87820.sortByCoord,0.011060803878776176,0.007146523489360351,1.5477181171017422
EE87821.sortByCoord,0.014538738747620584,0.003955314027189412,3.6757482838730757
EE87822.sortByCoord,0.010314321283006047,0.005351626004968229,1.9273247557715463
EE87823.sortByCoord,0.014550439596052497,0.005563634903956383,2.6152757769395443
EE87824.sortByCoord,0.010031557885346171,0.007299470895797144,1.3742856199511797
EE87825.sortByCoord,0.01036002006853286,0.003495502840576061,2.963813946386472
EE87826.sortByCoord,0.01006503655767183,0.006918341179567035,1.4548337956211812
EE87827.sortByCoord,0.010362154376113646,0.007906883991133472,1.3105231324670292
EE87828.sortByCoord,0.01092189629355152,0.006963909541553337,1.568357002396578
EE87829.sortByCoord,0.008706080229819344,0.004676339078244581,1.861729888305589
EE87830.sortByCoord,0.00720562089802601,0.005714154223046396,1.2610126742754355
EE87831.sortByCoord,0.007336810751796209,0.0066975755167905295,1.0954427812576573
EE87832.sortByCoord,0.011097214492398411,0.0035830970567362276,3.097101283242002
EE87833.sortByCoord,0.02100409813717557,0.006129710684350932,3.426605139912842
EE87834.sortByCoord,0.009705373085825336,0.0051170878962883805,1.8966594443032754
EE87835.sortByCoord,0.031057533307283593,0.007726639032245929,4.019539825488133
EE87836.sortByCoord,0.0390444402797063,0.006051745225955472,6.451765370466635
EE87837.sortByCoord,0.019788381383297415,0.008681547615217963,2.2793610379571247
EE87838.sortByCoord,0.010750207956502623,0.005550209236491142,1.9369013848744439
EE87839.sortByCoord,0.009702044636430089,0.00456081499721989,2.127261167651858
EE87840.sortByCoord,0.009541436973180738,0.005138254190326385,1.856941408454271
EE87841.sortByCoord,0.009954323802350276,0.004817728537726822,2.0661861133103785
EE87842.sortByCoord,0.009898566917020816,0.004547765489705712,2.1765781325855826
EE87843.sortByCoord,0.007846066856063372,0.006644597792929108,1.1808189299904375
EE87844.sortByCoord,0.009877748118909688,0.005574941123963653,1.7718120961763342
EE87845.sortByCoord,0.00830431361234891,0.004847345351487376,1.7131673132802032
EE87846.sortByCoord,0.012377805021667075,0.005345515732446354,2.315549264318117
EE87847.sortByCoord,0.019333572099446524,0.004932333331520258,3.91976186521998
EE87848.sortByCoord,0.010236482155788299,0.003366531217706033,3.040661587199977
EE87849.sortByCoord,0.01058302119856197,0.0033767729637595102,3.1340635903396437
EE87850.sortByCoord,0.008401113353425669,0.00707660922826757,1.1871664920916303
EE87851.sortByCoord,0.008643376713747994,0.008175678506977929,1.0572060418436078
EE87852.sortByCoord,0.010367412117123375,0.0072660408271077274,1.4268309749162473
EE87853.sortByCoord,0.00749304314179584,0.0065151412364976196,1.1500968083116978
EE87854.sortByCoord,0.0075024861466599126,0.007866280878615524,0.9537526389447156
